Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
eSUN 3D Printing,@esun3dfilament,2024-01-25T03:45:35.000Z,"#3dprinted  Ironman suit by @squires_cosplay using eSUN PLA+
Love this suit
Suit files:  #do3d_com @akira_ .tw
.
. #ironman #cosplay #diy #3dprinting #3dprint #esun #pla #3dp #filament",0,0,0,0
朝,@M_vk_S,2024-01-26T22:13:42.000Z,Cartman Soap Dispenser  #3dprinting https:// 1LWs?si=u1roFcV7KxUX2-jW … @YouTube より,0,0,0,8
SGI Dubai 2025,@sgidubai,2024-01-30T13:31:54.000Z,"Launch Your Latest Products & Solutions @ SGI Dubai 2024
Book your Booth Now:  https:// #printing #signage #SGIDubai #digitalsignage #LED #textileprinting #largeformatprinting #3dprinting #gifts #promotion #advertising #digitalprinting #events #tradecenter",0,0,0,0
VoxelMatters,@VoxelMatters,2024-01-26T16:00:28.000Z,"Jointless Hull giant metal  #3Dprinter  project wins MilAM 2024 Award.

Honouring individuals or groups that have exemplified outstanding achievement in  #3Dprinting  supporting DoD mission priorities. https:// #aerospace #defense #additivemanufacturing #innovation",0,0,0,0
Nozzler.io,@NozzlerIO,2024-01-25T11:30:36.000Z," Hub USB C Elexlinco   8,43 € au lieu de 16,99 €  #nozzler #maker #nozzlerMaker #makers #3Dprinting https:// linco/?feed_id=99686&_unique_id=65b2465c5a2c3 …",0,0,0,10
夕凪㌠,@Yuunagi_DAMEYA,2024-01-25T11:17:08.000Z,3Dプリンタで製造した1/144スケールモデルや1/2000艦船モデルを中心に販売中です。約1000種のキットを取り扱い中です！　DAMEYA-NET　  https:// #144スケモ #2000スケモ #艦船模型 #3Dprinting,0,0,0,0
Corvusgamesterrain,@Corvusgamester1,2024-01-29T14:49:59.000Z,The  #necron  inspired monument terrain piece fully printed. It's large!  #3Dprinting #wargaming #warhammer40k #necrons #robotlegions #onepagerules #grimdark #killteam #terrain #tabletopgaming,0,0,0,0
All3DP,@All3DP,2024-01-28T06:36:56.000Z,"A modular Mage, Twig Blights, Owlbear... we've got all the D&D essentials and more.  #3Dprinting",0,3,1,500
Michael Petch,@MichaellPetch,2024-01-26T16:19:02.000Z,Eplus3D and Paradigm 3D team up to produce certified aerospace components  https:// #3DPrinting,0,0,0,0
Danny @ NeoKoi Prints,@NeoKoi_Prints,2024-01-29T13:27:46.000Z,"This is how I imagine car lovers find my  @Thangs3D #3dprinting #hueforge #jdmlife  

I do custom work as well if anyone’s interested ",0,3,0,73
