Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
LNGS,@LngsInfn,2024-11-19T14:18:31.000Z,"Anche i Laboratori del Gran Sasso sono presenti al Formnext 2024 Messe Frankfurt , padiglione H11 stand A66
Dal 19 al 22 Novembre

Leggi di più  https:// xt-2024 … #formnext #formnext24 #trasferimentotecnologico #additivemanufacturing",0,7,2,176
3Printr.com,@3printr,2024-10-17T08:53:36.000Z,TU Dortmund University expands 3D printing research with new WAAM machine from GEFERTEC  http:// #additivemanufacturing #3dprinting,0,1,0,55
3Dnatives,@3Dnatives,2024-12-27T09:00:00.000Z,"Directed Energy Deposition (DED) is a critical  #additivemanufacturing  technology that is often used for repairs, but it can also be used to make end-use parts as well. Curious about the  #DED #3Dprinter  manufacturers in Germany and Austria? Take a look at our map: ",0,0,0,0
3D-grenzenlos Magazin,@3Dgrenzenlos,2024-11-12T12:55:50.000Z,"Incus bringt den HammerEvo35 auf den Markt, eine Weiterentwicklung für präzisen Metall-3D-Druck und industrielle Anforderungen:  https:// cker/incus-hammer-evo35-optimierte-version-271128273/ … #3dprint #3dprinting #3ddruck #additivemanufacturing #additivefertigung #hammerEvo35 #incus #formnext @formnext_expo @Incus3D",0,1,1,45
3D-grenzenlos Magazin,@3Dgrenzenlos,2024-12-23T06:25:16.000Z,"Dank 3D-Druck hat der kleine Chihuahua Niblett, mit Hydrocephalus erkrankt, eine neue Chance auf ein normales Leben:  https:// ekte/3d-gedruckter-helm-rettet-chihuahua-leben-271138013/ … #3dprint #3dprinting #3ddruck #additivemanufacturing #additivefertigung #3dprintwithlove #hydrocephalus #tiermedizin #chihuahua #tierliebe",0,4,0,59
3DPrinting.com,@3dprintingcom,2024-12-03T09:00:26.000Z,"Babcock advances additive manufacturing under Project Tampa, delivering AM solutions for the British Army and Royal Navy. A leap forward for UK defence.  #3DPrinting #DefenseInnovation #AdditiveManufacturing",0,5,1,174
3D-grenzenlos Magazin,@3Dgrenzenlos,2024-11-21T12:04:56.000Z,Effizientere Nachbearbeitung im SLS-Druck? EOS und AM Solutions präsentieren auf der  #formnext2024  neue Lösungen!  https:// ss/unternehmenskooperationen-firmenuebernahmen/eos-am-solutions-formnext-2024-271131463/ … #3dprint #3dprinting #3ddruck #additivemanufacturing #additivefertigung #slsdruck #postprocessing #eos3d @EOS3DPrinting @formnext_expo,0,1,0,55
Asturias Digital Innovation Hub – AsDIH,@AsturiasDIH,2024-10-02T16:50:31.000Z,"‍  Check our website for real cases in which the latest digital technologies in fields such as  #AdditiveManufacturing ,  #sensors ,  #data  analysis or  #vision  technologies have solved real problems in companies in the  #Asturias  industry  https://",0,0,0,0
EOS 3D Printing,@EOS3DPrinting,2024-10-25T09:09:01.000Z,What’s Next in  #3DPrinting ? Join us at  #Formnext2024  to find out.  Register here:  https:// #AdditiveManufacturing,0,0,0,0
MaterialDistrict,@materialdistrct,2024-11-05T18:01:02.000Z,Partition walls made of mycelium and orange peels  https:// ion-walls-made-of-mycelium-and-orange-peels/ … #materialinspiration #materials #mycelium #orangepeels #3dprinting #additivemanufacturing #biobasedmaterials #partitionwalls #interiordesign #interestingtimesgang #obos,0,0,0,0
Fabbaloo,@fabbaloo,2024-10-07T18:00:11.000Z,"polySpectra Launches COR Zero Resin, Offering Manufacturing-Grade Strength for Home 3D Printers  https:// ra-launches-cor-zero-resin-offering-manufacturing-grade-strength-for-home-3d-printers?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=fabbaloo … #3DPrinting #AdditiveManufacturing",0,0,0,0
K. Sonalika,@sonalikak479,2024-12-09T12:58:43.000Z,Don't miss the talk of Dr. Robert Sekula #Additivemanufacturing #3DPrinting,0,0,0,0
Metal AM,@MetalAMMag,2024-11-15T08:00:07.000Z,. @iitdelhi  and m4p material solutions GmbH have published a study investigating the corrosion behaviour of additively manufactured Al-Mg-Sc-Zr alloy with a Sc/Zr ratio of less than 1 in 3.5wt% NaCl solution -  https:// ively-manufactured-al-mg-sc-zr-alloy-with-low-sc-zr-ratio-for-marine-environments/ … #additivemanufacturing #3dprinting #research,0,2,0,68
VoxelMatters,@VoxelMatters,2024-11-04T13:51:02.000Z,"Breakthrough in  #bioprinting ! Dynamic interface printing opens new possibilities for volumetric bioprinting, enabling faster, more precise creation of complex tissue structures.  https:// #3dprinting #additivemanufacturing #biomedical",0,0,0,0
SCOJET,@scojetinc,2024-12-06T20:00:48.000Z,"With our SLA 3D printing services, we bring your designs to life with exceptional accuracy, smooth finishes, and tailored solutions to meet your exact specifications. 
 . 
Explore more at  https://  
 .  #SLAPrinting #ScojetInnovation #AdditiveManufacturing",0,0,0,0
Hernshead Recruitment,@Hernshead,2024-12-18T09:00:05.000Z,"At  #HernsheadRecruitment , we specialise in connecting talent with industries where engineering and technology collide. 

From electric vehicles to  #AdditiveManufacturing , we understand the challenges and opportunities in niche markets.

Contact us today:  https://",0,0,0,0
GZERO Additive,@GZEROAdditive,2024-12-10T15:51:04.000Z,"Where is 3D printing revolutionizing manufacturing?   Find out in our latest article -  https:// here-is-3d-printing-used-often … ·
·
· #gzeroadditive #3dprinting #3dprinter #3dprint #additivemanufacturing #madeinamerica",0,0,0,0
Paanduv Applications,@PaanduvA,2024-12-05T06:19:39.000Z,"Dr. Rimzhim Gupta, our Senior Research Scientist, shared her expertise on the latest 3D printing innovations at 3D GEM 2024 at the  @iitdelhi  . She was also honored for her exceptional contributions to the field during the event. #additivemanufacturing #3dprinitng #innovation",0,0,0,0
ASTM International,@ASTMIntl,2024-10-10T12:25:52.000Z,ASTM has formed a strategic partnership with  @Austal_USA   and  @BlueForgeUS  to strengthen the  @USNavy 's  #AdditiveManufacturing  capabilities. The collaboration aims to enhance the Navy’s supply chain for future submarine platforms.  https://,0,0,0,0
Metal AM,@MetalAMMag,2024-11-13T15:59:52.000Z,APWORKS ( @AirbusApworks ) has announced that Scalmalloy is now qualified for use on the  @FarsoonAM  FS422M metal  #additivemanufacturing  machine -  https:// ies-farsoon-fs422m-for-scalmalloy-production/ … #3dprinting #robotics #automotive,0,2,0,54
Farsoon Technologies,@FarsoonAM,2024-11-08T13:35:51.000Z," Exciting news!  @farsooneurope  partner  @fabulous3Dprint  announces  #innovative #3Dprinting  solution using  #PA11 -based  #material  on  #Flight #SLS  system, enables  #highvolume #Production  for  #food  &  #pharmaceutical #packaging .  https:// #AdditiveManufacturing",0,0,0,0
San Draw｜Silicone 3D Printer,@SanDraw3D,2024-10-31T12:00:01.000Z,Silicone 3D Printing- #Lattice #Structure  Cube This hollow lattice design makes the silicone structure lightweight and perfect for cushioning. It prints easily without support material! #Silicone3DPrinting #silicone #3DPrinting #AdditiveManufacturing,0,3,1,59
3Dnatives,@3Dnatives,2024-10-27T11:30:00.000Z,"Are you ready for  #Formnext2024 ? For this week's  #Top5  videos, we have our  #Formnext  teaser at #1 to get you looking forward to the year's biggest event in  #additivemanufacturing . Then, we feature videos on  #3Dprinted  parts for Formula 1 cars & more! ",0,4,0,134
GZERO Additive,@GZEROAdditive,2024-12-07T18:37:06.000Z,"Catch us in Indianapolis next week at the Performance Racing Industry Show! We’ve got new materials, new applications, and bad ass 3D printers you won’t want to miss! Machinery Row, booth 5336. #gzeroadditive #3dprinting #3dprinter #3dprint #additivemanufacturing #madeinamerica",0,0,0,0
Metal AM,@MetalAMMag,2024-10-11T09:00:17.000Z,Schoeller-Bleckmann Oilfield Technology GmbH (SBOT) has completed the first expansion stage of its metal  #additivemanufacturing  competence centre -  https:// dditive-manufacturing-capabilities-for-highly-complex-metal-components/ … #3dprinting #oilandgas #aerospace,0,1,0,147
