Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
"The Nerdskull, Woke Moralist",@the_nerd_skull,2022-12-07T02:15:44.000Z,Glad I look up reviews and info for most tech stuff I buy. Looks like the camera I was looking at using for time lapses on my  3D printer  is junk and I really should just bite the bullet and get an RPi and use OctoPrint instead.,2,13,0,0
Rehab Management,@RehabMgmt,2022-12-06T23:30:00.000Z,Good Shepherd Rehabilitation Wants You to Help Name Their  3D Printer https:// #rehabilitation #3dprinting #3dprinter @GSRN,0,1,1,0
Mahwah High School,@MahwahHS,2022-12-06T23:33:11.000Z,"Posted  @withrepost  •  @mhs .thinktank T3 Period 1 presents their final shadowbox projects! Students were tasked with creating a scene in illustrator to be laser cut on acrylic, and  3D print  a stand to hold the laser cut slides.  #MahwahConnects https://",0,0,0,0
La.Calavera.3D.print,@La_Calavera_3D,2022-12-07T00:07:36.000Z,"Printing all the Megaman colors combinations is gonna be fun, there are a lot of diferent colors based in the bosses of the Nes games, hey, dont miss this guy, is one of our best works so far  #3dprint #zbrush #patreon #ender3 #3dmodel #3ddesign #stlfile #megaman",0,12,2,0
Not A Games Dev Ollie,@Reksaurian,2022-12-07T03:03:57.000Z,"Check out Ben Holmes's video!  #TikTok https:// Interesting. Course if you were trying to get through such a door, presumably because there's stuff inside of value requiring it, you would not be using a hammer. Probably phosphorous.",0,0,0,0
@brittanihislop,@brittanihislop,2022-12-06T23:11:15.000Z,Taking our estuary inspiration to Tinkercad and the  3D printer  to make bookmarks.  @stevescyclones,0,2,1,0
bot3052991,@3052991bot,2022-12-07T12:48:23.000Z,"In the 1990s, Abbey wrote African Studies in the 1980s on the moon about  3D printing . The author received a big bar of chocolate.",0,0,0,0
Not A Games Dev Ollie,@Reksaurian,2022-12-07T06:54:03.000Z," OK, gamer high done. Time for snooze.",0,0,0,0
WANHAO 3D PRINTER,@wanhao3d,2022-12-07T02:11:46.000Z,"Plastic cutting machine for printer machine beam  #3dprinter , #3dprinting , #wanhao3dprinter , #3dprinterfactory , #3dprintermanufacturer , #3dprintersupplier",0,0,0,0
WANHAO 3D PRINTER,@wanhao3d,2022-12-07T02:05:45.000Z,"Ext-ruder lever locking pin to be punched into position.  #3dprinter , #3dprinting , #wanhao3dprinter , #3dprinterfactory , #3dprintermanufacturer , #3dprintersupplier",0,0,0,0
DeliciousDisguises AFC,@DelishDisguises,2022-12-07T23:51:04.000Z,"Introducing Hover the lionness! This lovely girl features mochi minky pawpads, a bouncy kitty tail, mochi minky interchangeable tongues, resin  3d printed  eyes with fully washable dye sublimated eye mesh, and a soft little scar detail on her eye!",7,125,19,0
Bikerumor,@bikerumor,2022-12-06T23:16:39.000Z,Mythos  3D-printed  titanium stems put a new twist on bicycle components  https:// ted-titanium-stems-put-a-new-twist-on-bicycle-components/ …,0,2,0,0
St.JohnDoh,@_dimej,2022-12-07T03:26:27.000Z,So basically  3D printing,0,0,0,0
Jovan Kostovski,@chombium,2022-12-07T08:53:45.000Z,"Oh, oh,  3D printed  chocolate... Try to keep the children away from chocolate now :)",0,0,0,0
Mahwah High School,@MahwahHS,2022-12-06T23:33:16.000Z,Posted  @withrepost  •  @mhs .thinktank Shadowbox project by Andrew Tran in T3 Innovations & Inventions. (Lasercut &  3D printed  with moveable parts)  #mahwahconnects https://,0,0,0,0
The Valley Ledger,@thevalleyledger,2022-12-07T02:44:17.000Z,Good Shepherd Rehabilitation Announces Contest to Name New  3D Printer https://,0,0,0,0
Springwise Intelligence,@springwise,2022-12-07T10:34:05.000Z,"Today's Innovations!   Grid-scale storage for green energy  Tackling long covid with an activity-tracking platform  A  3D-printed  self-sufficient home

Get the latest innovations to your inbox:  https://",0,0,0,0
Supcat@ Laperopter Corporation,@supcat,2022-12-06T23:33:29.000Z,"TIL  3D printing  filament is hygroscopic and needs to be kept dry/made dry and there are solutions. (Also TIL I would have typed ""hydroscopic"" which is not correct)",2,14,0,0
3D Print Mentor,@3dprintmentor,2022-12-06T23:00:01.000Z,"3D printing  is the future.

- Can literally print out we love.
- Customize whatever you need/want.
- Realize that what you want to create is only limited by your own imagination.

Start getting creative and adventurous.",0,0,0,0
vainsl,@leuvenlight,2022-12-06T22:21:39.000Z,"Spent the entire week obsessed with Willow, so to ease the wait for a new ep I made Jade’s throwing knives and Boorman’s cleaver into  3D print  design. Not exactly right but closest that I’m at rn  @WillowOfficial #willow",0,0,0,0
Seeed-Fusion Service,@SeeedFusion,2022-12-07T01:23:33.000Z,Fabricated with  #Fusion 3D Printing ？ https:// ting.html …,0,3,0,0
GlobaI Info Research,@ShanyaYang,2022-12-07T08:47:55.000Z,"Cobalt Based  3D Printing  Powder Market Research Report (2022-2028): Key Trends a

Read:  https://",0,0,0,0
LeLuv,@LeLuvSocial,2022-12-07T02:07:44.000Z,"Dildo 7 Inch Mr. Hearty  3D Printed  - Choose a Thickness 
$ 21.99 
90 Day, 100% Money Back Guarantee - Fast & Free Shipping to All USA Addresses with No Minimum Order
For More Info, click below: http:// -7-inch-mr-hearty-3d-printed-choose-a-thickness …",0,0,0,0
Noel Skum,@skum_noel,2022-12-07T04:43:19.000Z,Idea for an invention: a  3D-printed  hovercraft that mines lawyers. If you don't like it you're a sausage.,0,0,0,0
Wyatt_Hettinger22OqXp,@hettinger22oqxp,2022-12-07T01:19:44.000Z,"ANYCUBIC  3D Printer  Resin, 405nm High Precision Fast Curing UV Photopolymer Resin for LCD  3D Printing , 1kg Black 5WDIKJH https:// tag=cattaraugus-20 …",0,0,0,0
Antlion Audio,@AntlionAudio,2022-12-06T23:33:09.000Z,"Don't sleep on the ModMic Labs section of our website.  We feature user created  3D printed  accessories related to the ModMic line, such as clasps and charging stands.  As always, if you have designed something DM us on twitter to be featured! #mic #modmic #audio #3d #3dprint",0,4,1,0
IR Blinx,@irblinx,2022-12-06T21:32:40.000Z,"Ok,  @joeltelling  just casually dropping mind blowing tech, my jaw was on the floor after this 3D Printing  ISOTROPIC MOLDS, WOOD & STONE with Massivit 3D!  https://  via  @YouTube",4,13,1,0
Build a PC Sales CA,@bapcsalescanada,2022-12-06T22:18:22.000Z,[ 3D Printer ] ELEGOO NEPTUNE 2S ($250 - $100.01 - $10.00 = $139.99 USD) [ELEGOO]  https://,0,0,0,0
Nathan Skadsen,@ndskadsen,2022-12-07T03:09:28.000Z,3D printed  rockets ,0,2,0,0
