Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
Phrozen 3D Printer,@Phrozen3D,2022-11-01T05:14:46.000Z,The space army of Phrozen is growing now Phrozen3D’s website https://,0,2,0,0
TenLinks Daily News,@tenlinksnews,2022-11-01T11:31:54.000Z,‘UpThermo powered by Cubicure’ Released for 2PP  3D Printing #3dprinting https:// pnano-develop-upthermo-heat-resistant-material-for-2pp-3d-printing/ …,0,0,0,0
PDSVISION,@PDSVISION,2022-11-01T07:08:19.000Z,"An Introduction to Design for  Additive Manufacturing Increase competitiveness and enable innovation with  additive manufacturing . Take advantage of its benefits and put it to work for you. Discover how.

>  https:// oduction-to-design-for-additive-manufacturing/?utm_source=twitter&utm_medium=linkedin&utm_campaign=ucc-fy23q1&utm_content=01-nov-2022 … #additivemanufacturing #innovation #freeebook",0,3,0,0
Scott Morgan,@confusedeagledc,2022-11-01T12:32:46.000Z,3D-printed  weapons: Interpol and defense experts warn of ‘serious’ evolving threat    https://,1,2,2,0
Digital Nature Group,@labDNG,2022-11-01T02:00:01.000Z,"【研究紹介】BOLCOF: Base Optimization for middle Layer Completion of  3D-printed  Objects without Failure（2018）

3Dプリンターが印刷した際に，途中から印刷し直すためのシステム
装置の単純化と低価格化を図った． https:// _project/ …",0,3,0,0
Gadgeticus Store,@gadgeticusstore,2022-10-31T23:43:54.000Z,#hashtag3  LCD  3D Printer  Machine,0,0,0,0
Data Ethics Learning,@EthicsLearning,2022-11-01T04:00:55.000Z,"What Happened In Space Tech In 2022

We’ve got everything covered from  3D-printing  to spacecraft facilities! https:// #ethicslearning #ethicsph #technology #space #spacetech",0,0,0,0
UpMyTech,@UpMyTech,2022-11-01T02:03:47.000Z,3D Printed  Strain Wave Gearbox [Hackaday]  https:// ain-wave-gearbox-hackaday/ …,0,0,0,0
Not A Games Dev Ollie,@Reksaurian,2022-11-01T02:36:12.000Z,Check out  http://  video!  #TikTok https://,0,0,0,0
UMLOOAD,@umlooad,2022-11-01T08:02:19.000Z,I´m currently using GF Gear Generator plugin in Fusion 360 CAD to create a  3D printed  turntable. Nice plugin to get some standard gear generation tasks done. A short introduction video is coming on  https:// . #fusion360 #cad #cnc,1,3,1,0
Mona Shen,@Tronxy3d,2022-11-01T05:01:07.000Z,Sleek sellouts!  . Order SL42STH40-1684A 1.8A 78Oz-in 42 stepper motor at $20.00 from  https:// th40-1684a-1-8a-78oz-in-42-stepper-motor …,0,0,0,0
