Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
Geevader,@geevader,2022-11-09T23:21:26.000Z,"Here's a  3D print  of the iconic Sith Lord - Darth Vader from one of the most epic space operas of all time - Starwars.  Here his damaged helmet reveals the scarred face and head of Anakin Skywalker. 
Watch more here:  https:// PLwKHMenh8B6jdwmrgF1dyzF_Rl9PhGafA … #darthvader #anakinskywalker #starwars",0,0,0,0
Carnahan Library,@CarnahanLibrary,2022-11-09T22:50:19.000Z,All three  3D printed ! Thanks to  @JustinYagoda  for these for our Carnahan Library.  #3Dprinting #schoollibraries  @areynoldsbooks  @CarnahanLibrary,0,4,0,0
SOLIDWORKS,@SOLIDWORKS,2022-11-10T01:00:00.000Z,The winners of the 2022 LEAP Awards (Leadership in Engineering Achievement Program) were recently announced for  Additive Manufacturing . Here are the winners.  #3Dprinting http://,0,7,1,0
joe pianta,@gizmo401,2022-11-09T22:31:16.000Z,"Beatrix Barbarian Pin-Up - STLs for  3D Printing https:// trollminiatures/beatrix-barbarian-pin-up-stls-for-3d-printing … , via Kickstarter",0,0,0,0
OS - Best and Top,@os247BnT,2022-11-09T23:16:43.000Z,SUTK White 1.75mm Filament Material Run Out Detection Module Sensor For  3D Printer  Parts via  @amazon @AmazonUK #Amazon https:// tag=shalert03-20 …,0,0,0,0
Mac The Planeh,@MPlaneh,2022-11-10T00:09:26.000Z,Another bored  3D print . A laptop sata hard drive holder.,0,8,1,0
OS - Best and Top,@os247BnT,2022-11-09T22:52:29.000Z,"Creavvee PLA  3D Printer  Filament, 1.75mm, Red, 1kg Spool (2.2lbs) via  @amazon @AmazonUK #Amazon https:// tag=shalert03-20 …",0,0,0,0
OS - Best and Top,@os247BnT,2022-11-10T01:05:50.000Z,SUTK TC4 Alloy M6 Extruder Nozzle Throat For  3D Printer  CR-10 via  @amazon @AmazonUK #Amazon https:// tag=shalert03-20 …,0,0,0,0
OS - Best and Top,@os247BnT,2022-11-10T00:03:32.000Z,SUTK 3PCS T8 4mm Lead 2mm Pitch T Thread POM Black Nut Plate For  3D Printer  via  @amazon @AmazonUK #Amazon https:// tag=shalert03-20 …,0,0,0,0
All3DP,@All3DP,2022-11-09T22:55:57.000Z,Satisfy your sweet tooth with one of these creative  3D printed  cookie cutters!  #3Dprinting,0,2,1,0
The 3D Print General,@3DPrintGeneral,2022-11-09T23:03:32.000Z,"Something about my baby groot scan just doesn't look right lol.  
Time for more testing to figure this out",6,17,0,0
