Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
K. Sonalika,@sonalikak479,2024-12-06T05:24:30.000Z,Be a part of Shaping the Future of 3D Printing in Barcelona #3Dprinting #Additivemanufacturing,0,4,0,39
3DPrint,@3DPrint_com,2024-12-02T17:55:30.000Z,"For various reasons, we are experiencing an extended bout of layoffs across the  #additivemanufacturing  industry. But as Joris Peels says, there's a silver lining for employees leaving their jobs, and a slice of hope for the industry in general.  @pilz",0,0,0,0
Nitin Patil,@nittinpatil,2024-11-11T15:14:25.000Z,"Stratasys Updates FDM, P3 Platform, Products to be Showcased at Formnext https:// tes-fdm-p3-platform-products-to-be-showcased-at-formnext/ …  via  @dailycadcam @Stratasys #FDM #FDM3DPrinting #OriginP3 #3DPrintingMaterials #Resins #AdditiveManufacturing @formnext_expo #Formnext2024",0,0,0,0
PhillipsCorporation,@Phillips_Corp,2024-12-06T13:00:23.000Z,"Access cutting-edge additive manufacturing with no upfront cost!

With our ""Print More, Pay Less"" program, innovate now & defer payments for up to 12 months. The future of manufacturing is within your reach.  Markforged@phillipscorp.com #Markforged #AdditiveManufacturing",0,0,0,0
EOS 3D Printing,@EOS3DPrinting,2024-11-13T14:57:01.000Z,"Today, we’re introducing two powerful materials to expand what's possible in metal  #AdditiveManufacturing  -  #EOS  NickelAlloy IN738 and EOS NickelAlloy K500.  https:// #AdditiveManufacturing #FutureIsAdditive #3Dprinting #ResponsibleManufacturing",0,0,0,0
Machine Design,@MachineDesign,2024-12-13T13:46:01.000Z,"This plastic  #3Dprinting  process uses a thermoset liquid, not a  #thermoplastic , which is UV-cured in layers to form final parts with high precision and detail.  https:// #stereolithography #additivemanufacturing #AM",0,2,1,89
Fabbaloo,@fabbaloo,2024-11-12T19:08:15.000Z,Formlabs Enters Third-Party Resin Market with Safer Creator Series Resins  https:// enters-third-party-resin-market-with-safer-creator-series-resins?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=fabbaloo … #3DPrinting #AdditiveManufacturing,0,0,0,0
SENFENG,@SenfengGroup,2024-12-18T07:33:00.000Z,The laser cladding machine is expertly restoring propeller blades with precision and efficiency. WhatsApp：+8613031735608 https:// ry/laser-cladding-machines/ … #SENFENG #Lasermetaldeposition #additivemanufacturing #cladding,0,0,0,23
Paanduv Applications,@PaanduvA,2024-11-15T07:07:54.000Z,"Detailed modeling of the LPBF process with AM PravaH tracks all 4 phases—metal, liquid metal, metal vapor, and inert gas (Argon)—simultaneously. #additivemanufacturing #3dprinting #titaniumalloy #lpbf #simulation",0,0,0,28
3Dnatives,@3Dnatives,2024-11-25T10:04:22.000Z,"Creating lattices with  #additivemanufacturing  allows for stronger and lighter parts. But which lattice is best? We spoke to  @TrueInsight_io  about different lattices, how they are used and how to create them with software like  @Altair_Inc .",0,2,0,63
3Printr.com,@3printr,2024-12-09T08:31:06.000Z,Zeda auctions 3D printing systems worth 20 million US dollars  http:// #additivemanufacturing #3dprinting,0,0,0,41
Metal AM,@MetalAMMag,2024-11-25T10:00:09.000Z,"VBN Components has announced that it is involved in three master’s theses, scheduled for spring 2025 -  https:// -announces-involvement-in-three-masters-theses/ … #additivemanufacturing #3dprinting #research",0,2,1,100
3D-grenzenlos Magazin,@3Dgrenzenlos,2024-12-08T08:15:35.000Z,Neue Technologien von DyeMansion: Powershot X für flexible Nachbearbeitung und nachhaltige Färbelösungen im 3D-Druck  https:// er-zusatzgeraete/dyemansion-powershot-x-dm60-formnext-271135213/ … #3dprint #3dprinting #3ddruck #additivemanufacturing #additivefertigung #dyemansion #formnext @WeAreDyeMansion @formnext_expo,0,3,0,48
Marc Burnett at Large Format Review,@LFRnews,2024-11-18T09:03:28.000Z,. @Meteor_Inkjet #Print #3DPrint #Software #AdditiveManufacturing #Signage,0,0,0,37
fiberthree,@fiberthree,2024-11-28T17:01:44.000Z,"Prosthesis application with our F3 PA Ortho.
.
.
.
.
.
.
. #manufacturing #tech #creative #additivemanufacturing #3dprinting #engineering",0,0,0,0
Metal AM,@MetalAMMag,2024-11-22T15:00:11.000Z,"Following a jury evaluation and newly introduced public voting, Mesago Messe Frankfurt announced the winners of the Formnext Awards at a ceremony on November 21 -  https:// -formnext-awards-2024-include-ceratizit-siemens-fraunhofer-igcv/ … #additivemanufacturing #3dprinting #Formnext #Formnext2024",0,4,0,109
Hannes Schmidt,@BiotechHannes,2024-11-13T07:36:13.000Z,Excited to see the innovations that come out of this collaboration! Steel and additive manufacturing are a game-changer for the automotive industry.  #additivemanufacturing #3dprinting,0,0,0,32
