Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
Jeremy Darque Waters,@darquewaters,2017-11-10T20:08:59.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Fabbing,@fabbing,2017-11-10T19:11:21.000Z,"MakeX Introduces Its First FDM  3D Printer , the MIGO  http://",0,0,0,0
Dorrie Rossmaier Memecoin,@d_rossmaier,2017-11-10T19:25:10.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Nexus Governance,@NexusGov,2017-11-10T20:25:01.000Z,The Biggest Revolution in  #3D  Printing is Yet to Come  #VR #VRGames #Drone #Gaming http://  | Datacracy Marketplace -  https:// volution-in-3d-printing-is-yet-to-come/ … https:// oads/2017/11/the-biggest-revolution-in-3d-printing-is-yet-to-come.jpg … #DroneVideos,0,0,0,0
CrypticCyborg009,@Crypticborg009,2017-11-10T19:18:22.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Jason Gribble,@jasongribble,2017-11-10T19:27:29.000Z,That is a waste of  3D printer  filament.  https:// tatus/929060927135277062 …,1,1,0,0
Moriartys Digital Visions,@msqrd2,2017-11-10T19:20:05.000Z,Brand new on  @Kickstarter : Weaver: Professional SLA Laser  3D Printer  with F-theta lens by 3DFacture  https://,0,0,0,0
Siemens Digital Industries Software,@siemenssoftware,2017-11-10T20:00:56.000Z,Production-level  #3D  printing /  #additive #manufacturing  gains momentum   http://,0,5,4,0
Henry B,@Galahad1985,2017-11-10T19:11:20.000Z,"3D printing , robotics, and the future of confections |  @scoopit  via @MichaelODunham  http://",0,0,0,0
Jo Privette,@PrivetteJo,2017-11-10T20:26:01.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Vanessa Berthiaume,@athenasbynessa,2017-11-10T19:28:20.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
JC,@tazzzman54,2017-11-10T19:26:35.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Erick Morales,@KcirePeru,2017-11-10T19:14:34.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
