Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
"Erin Mulkearns-Hubert, PhD",@emulkearns,2019-07-31T23:20:20.000Z,Star Award winners gifted with a  3D printed  gap junction!  #IGJC2019,0,2,0,0
Edison,@Edison_Inv_Res,2019-08-01T09:17:54.000Z,Edison Explains:  #3D #printing  has moved through the hype phase.  http://,0,0,0,0
Camden Council,@CamdenCouncil,2019-08-01T08:00:00.000Z,"Head to Queens Crescent Library this afternoon to test out some new digital equipment    We’ve got virtual reality headsets,  3D printer , tablets, robots & much more.   Thurs 1 Aug btwn 3.30-5pm",0,12,10,0
3D Printing Magazine,@3DPrinting_Mag,2019-08-01T00:03:00.000Z,Markforged sues Desktop Metal for breach of contract & unfair and deceptive acts  https:// ws/markforged-sues-desktop-metal-breach-of-contract/ …,0,0,0,0
Celebrate & Have Fun,@celebratehavfun,2019-08-01T00:42:01.000Z,#Win  The 3Doodler Create Star Trek  3D Printing  Pen Giveaway ~ Ends 8/6  https:// er-create-star-trek-3d-printing-pen-giveaway-ends-8-6/ … #startrek #giftidea #entertowin,0,0,0,0
techstartupbot,@startupbot5,2019-08-01T00:14:08.000Z,3d printed  tracker,0,0,0,0
webstorewearmenow,@webstorewearme1,2019-08-01T00:49:47.000Z,#hashtag2  Jom Tokoy Lashes white  3D Printing  simple makeup bag neceser Cosmetic case women trousse de maquillage organizer pencil case,0,0,0,0
JZKitty Gaming,@JZKitty,2019-08-01T02:59:03.000Z,"We are live family! Time to play some awesome  #videogames , have fun, fail, make friends, fail more and have even more fun, join me! #Mixer :  https:// #Dlive :  https:// #Twitch :  https://",0,4,0,0
Strata-G Solutions,@strataghsv,2019-07-31T23:29:01.000Z,"3D printing  in space isn’t just meant to be a novelty, but a technology that puts us further into space. The ISS printer is already printing orders including advertisements, a crowdsourced sculpture, and projects for educational programs. Read more here:  https://",0,0,0,0
Charles Russo,@Charles_M_Russo,2019-08-01T11:48:27.000Z,Researchers Invent New Dynamic Material for  3D Printing #3dprinting https:// mbly/researchers-invent-new-dynamic-material-3d-printing/202819730561243 …,0,2,1,0
Asianwebshops,@asianwebshop,2019-08-01T12:07:05.000Z,#discount #deal 3D Printer  MK7 MK8 Extruder Gear 40 Tooth Teeth Brass Drive Gear Planet Reducer Extruder Feeding Gear wheel 3D  http:// 442&a=258169&u=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2F3D-Printer-MK7-MK8-Extruder-Gear-40-Tooth-Teeth-Brass-Drive-Gear-Planet-Reducer-Extruder-Feeding%2F32635644166.html …,0,0,0,0
