Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
Jeremy Gutsche,@jeremygutsche,2020-12-29T17:58:29.000Z,Edible  3D-Printed  Ornaments  https:// ted-ornaments … #ArtDesign,0,4,0,0
8BitofFun-On Vacation,@8BitoffunX,2020-12-29T19:06:30.000Z,2021 I’m doing a stream Yearbook shirt. All subs will get they name written and imma going to make a shirt with all they names listed on it which I will wear in 2022 and we will start over again every year,0,0,0,0
夕凪㌠,@Yuunagi_DAMEYA,2020-12-29T16:50:42.000Z,1/144 scale model manufactured with  3D printer  is on sale. https:// #144scale #3dprinting,0,3,1,0
Joselyn,@gucci_bagel,2020-12-29T16:33:54.000Z,Early “organic  3D printing ” tests have led to a pretty cute slimy vase,2,14,1,0
Not A Games Dev Ollie,@Reksaurian,2020-12-29T18:06:20.000Z,The oddest things show up in the cat feeds I follow. Is...is he trying to eat that cat?... o.O,0,0,0,0
Best Buy,@BestBuy03466961,2020-12-29T19:27:13.000Z,"Hip hop hoodies  3D printing  100% cotton , all size available.. Free shipping price $29.99 only.
If you want to know more details about the product, message us or comment below the picture. #christmas2020 #jacket #winter #hoodie #3d #jacket #hoodie #winter #christmas2020 #style",0,0,0,0
no,@Y4k010,2020-12-29T18:12:00.000Z,Christmas 2020 -  3D Printed  Emergency Button  https:// otEk …,0,0,0,0
V&A,@V_and_A,2020-12-29T18:00:33.000Z,"A feast for the eyes. Using melding digital design,  3D printing , and traditional silversmithing techniques, Silvia Weidenbach bold jewellery demands attention. Take a closer look at the techniques and inspiration behind her exuberant pieces.  https://",0,63,19,0
my uncle’s meme stash,@myunclesmemes,2020-12-29T18:20:56.000Z,Everyone  nooo you can't just spend 5.5 hours  3d printing  a meme nobody will care about! Me  haha printer go clank,1,84,5,0
Dale,@NatoshaWei,2020-12-29T20:35:00.000Z,He3d k280delta  3D printer  tang  https://  來自  @YouTube,0,0,0,0
FREE COURSES CERTIFICATE,@Ina62786847,2020-12-29T14:08:25.000Z,3D Printing  using fusion 360 http:// #freecoursescertificates #3danimation #3d #desgin,0,0,0,0
Mario Esposito,@windrago,2020-12-29T20:39:51.000Z,I just backed Revopoint POP: Precise 3D Scanner for  3D printing  on  @Kickstarter,0,0,0,0
David Steven Jacoby,@DavidStevenJ,2020-12-29T17:44:11.000Z,3D Printing  Industry review of the year: September 2020   http:// #manufacturing #iot #ai,0,0,0,0
OkikiOluwa,@temideej,2020-12-29T17:31:20.000Z,These tires work better in snow thanks to  3D printing https:// t&p=1731159 …,0,0,0,0
angroid.gr,@angroidgr,2020-12-29T15:08:20.000Z,[ #Ιστορικό_Χαμηλό ] Creality 3D Ender-3 PRO V-Slot :  3D printer  επιδόσεων με 150€ απο Ευρώπη! -  https:// rinters-laser-cnc/creality-3d-ender-3-3d-printer-epidoseon-me-172e-apo-eyropi-me-dorean-metafora …,0,0,0,0
Shree Rapid Technologies,@ShreeRapidTech,2020-12-29T14:55:02.000Z,"Metal  #3Dprinting  with the Markforged Metal X.

Everything you need to know - Metal X  3D printing  solution for an end-to-end manufacturing solution. #SRT #3Dprinting #MetalPrinting #AdditiveManufacturing #DigitalManufacturing",0,0,0,0
anna,@a_he3d,2020-12-29T14:32:00.000Z,US $3.3 | 3D printer  accessories heating aluminum block thermistor thermocouple printhead accessories Makerbot ...  https:// 01.html?channel=twinner …,0,0,0,0
ImpactLife,@impactlifeblood,2020-12-29T16:30:52.000Z,One of our awesome donors made cookies   for their blood drive using a  3D printer  to make the logos! ,0,2,0,0
Not A Games Dev Ollie,@Reksaurian,2020-12-29T18:43:44.000Z,Unknown Post Content,1,3,0,0
Dale,@NatoshaWei,2020-12-29T20:33:00.000Z,He3d k280 delta  3D printer  82%  https://  來自  @YouTube,0,0,0,0
Chicco Chikaya,@FOp3c,2020-12-29T18:15:19.000Z,"spent an hour googling ""how does  3D printing  work"" and I just don't understand",0,0,0,0
Nico,@nj_nickk,2020-12-29T20:00:50.000Z,Hit up ——>  @MiguelTaveras_  if you want a sick ass  3D print  of your logo!!! This came out amazing!,0,7,4,0
Not A Games Dev Ollie,@Reksaurian,2020-12-29T16:23:02.000Z,*walks into lamp post* ,0,0,0,0
charles 𝕽𝖊𝖕𝖗𝖎𝖓𝖙 𝕭𝖆𝖘𝖆𝖗𝖆,@thehorsecharles,2020-12-29T19:27:19.000Z,LET’S GET TO 50 ORDERS SO WE CAN GET MY  3D PRINT  OF KAGURA AND MOMO!! ,0,6,0,0
Robert (Bob) Bosch,@baabbaash,2020-12-29T14:41:14.000Z,"Chapter 8 of my book ""Opt Art: From Mathematical Optimization to Visual Design"" is on designing/finding almost symmetric knight's tours. Here are two photos of a  3D printed  version of a ""nearly fourfold"" closed knight's tour of an 8x8 chessboard.  #orms #mathart",2,45,8,0
PCMag,@PCMag,2020-12-29T19:31:00.000Z,The most adorable use of  3D printing  we've ever seen.,0,9,2,0
"Green Dot Sign, Inc.",@GreenDotSign,2020-12-29T16:11:09.000Z,Make  3D Printing  Filament From VHS Tapes - PC Perspective  https://,0,0,0,0
Eduporium,@Eduporium,2020-12-29T17:30:30.000Z,"An awesome story about Jason Erdreich, a middle school shop teacher, who helped  3D print  medical equipment for doctors and nurses at the start of the pandemic using  @lulzbot3D #3Dprinters !  https:// 2XzsI …",1,3,0,0
3D Printing Store,@3DPrintingStore,2020-12-29T16:05:07.000Z,The  #additivemanufacturing  industry is always moving forward and changing the healthcare industry constantly! Materials science engineers from Wisconsin are attempting to develop a  #3Dprinted  implantable blood vessel! Check out the full story here! http://,0,0,0,0
Monkeymademe Now On Threads,@monkeymademe,2020-12-29T18:36:58.000Z,"Work finally done, the kids now have status lists on their doors with magnet paint and little  3d printed  among us magnets (dm for stl)",0,2,0,0
Joyce Spires,@jaspinmo,2020-12-29T16:17:26.000Z,"""A Taste of the Future"" - Global Elites at World Economic Forum Promote Fake 'Meat' Produced From a  3D Printer  (VIDEO) via  @gatewaypundit https:// future-global-elites-world-economic-forum-promote-fake-meat-produced-3d-printer-video/?utm_source=Twitter&utm_campaign=websitesharingbuttons …",0,0,0,0
Not A Games Dev Ollie,@Reksaurian,2020-12-29T15:48:19.000Z,"Know what makes me...well, incredulous, really? Its when people look at this and say ""WOOOW, YOU'RE SO SKILLED, THATS AMAZEBALLS, I COULD NEVER DO THAT, I FEEL SO UNSKILLED"".

Like, bruh, Ive been studying how to do this for...20? 20 years? Ive done my 100,000 hours, let alone",1,2,0,0
anna,@a_he3d,2020-12-29T19:38:00.000Z,US $10.9 |LED light holder ultra thin solid wood wine coaster with charging cable| 3D Printer  Parts & Accessori...  https:// 1689.html?channel=twinner …,0,0,0,0
Extruder Joe,@ExtruderJoe,2020-12-29T17:09:40.000Z,3D Printing : Why Some  3D Print  Research Never Makes It To A Product  http:// fabbaloo/default~Why-Some-D-Print-Research-Never-Makes-It-To-A-Product …,0,0,0,0
MOTOR,@MOTORInfoSys,2020-12-29T19:45:08.000Z,. @BMW  is taking steps to scale its  additive manufacturing —also known as  #3Dprinting —up to industrial levels. Read more about how  3D printing  technologies will allow the company to produce structures at a lighter weight.,0,0,0,0
John,@Floodwing,2020-12-29T17:29:11.000Z,my resin  3D printer  arrived AAAAAAAAAAAAAAA,0,0,0,0
Not A Games Dev Ollie,@Reksaurian,2020-12-29T19:20:23.000Z,Beautiful work here. Clarity and clear cut figures. Deep rich colours. More of the scene for comparison would be nice tho. ,1,1,0,0
James Gingerich #B2B #Technology #Influencer,@jamesvgingerich,2020-12-29T17:53:00.000Z,Recycled plastics repurposed through  #3D  Printing. (T/T)  #Environment,0,3,2,0
PaliProto 3D,@PaliProto,2020-12-29T15:01:23.000Z,"Todays  #techtiptuesday : ""Forward-thinking supply chain practitioners have long seen the potential for  additive manufacturing ."" This has never been truer than in 2020. What will 2021 bring? Let us help you navigate those questions in your own business.  http://",0,0,0,0
LaGuardia Community College,@LaGuardiaCC,2020-12-29T19:13:33.000Z,"#YearInReview2020 : LaGuardia on-campus incubator space for hardware and tech startups,  @NYDesigns  donated spools of  3D printing  material made from biodegradable thermoplastic to produce personal protective equipment that were donated to health workers.  http://",0,2,0,0
hackaday,@hackaday,2020-12-29T17:00:06.000Z,"Check out this thumb joystick, it's an analog 3-axis  3D printed  joystick made as a FiberGrid technology demo.

Learn more:  https://",0,6,1,0
