Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
Tuan TRANPHAM,@ttranpham,2022-09-27T14:23:13.000Z,"3D Printed  Steak: Israeli company unveils lab-grown beef chunks •  https://  •  #3Dprinting  •  #additivemanufacturing  • ttranpham@azul3d.com •  #TranPham  •  http://  • Like what you see > comment, follow or connect with me.  https://",0,0,0,0
Shop Owl Fashion,@owlfashion1234,2022-09-27T16:11:56.000Z,SPECIAL   Icehouse Beer  3D Print  Ugly Christmas Sweater Hoodie   Get it now:  https:// eer-3d-print-ugly-christmas-sweater-hoodie/ … #shopowl #shopowlfashion #shopowlPOD #Drink #UglySweater,0,0,0,0
This Life Mag,@This_Life_Mag,2022-09-27T14:52:05.000Z,"Like a Swarm of Bees, These Drones Can  3D Print  Structures While in Flight  https:// warm-of-bees-these-drones-can-3d.html …",0,0,0,0
3D PRINT TECH DESIGN,@AntonMnsson,2022-09-27T15:55:25.000Z,Essential  3D Printing  Tools -   https:// og/essential-3d-printing-tools …,0,0,0,0
3D Systems,@3dsystems,2022-09-27T13:16:39.000Z,"Learn from our application brief how  additive manufacturing  (AM) can be best employed to facilitate optimization and help answer complex manufacturing aid issues. 

Discover key drivers for this application and design for  additive manufacturing  tips here:  https://",0,0,0,0
BestCoupons,@bestvseries_,2022-09-27T10:49:16.000Z,31% off >> $219 >>  #Creality  3D Ender-3 V2 3D  #Printer  Banggood Coupon Promo Code [Czech Warehouse]  https:// 3d/creality-3d-ender-3-v2-3d-printer-banggood-coupon-promo-code-czech-warehouse/ …,0,0,0,0
King's College London,@KingsCollegeLon,2022-09-27T08:44:22.000Z,"We’re counting down the days to New Scientist Live 8-9 October! @KingsImaging  will be showcasing cutting edge research for the exhibition Hospital Of The Future.

You can get up close and personal with Professor Kawal Rhode’s  3D printed  organs  https:// 08.1419441483.1657117697-818610973.1655373258 …",1,20,12,0
Geevader,@geevader,2022-09-27T16:22:32.000Z,"My  3D Printing  Chronicles continues with a print and glossy colour finish of Robert Pattinson's Batman from ""The Batman"" movie of 2022. Batman remains my all time favourite super hero  #batman  
Watch more here:  https:// PLwKHMenh8B6jdwmrgF1dyzF_Rl9PhGafA …",0,0,0,0
Clickbabe,@theReal16067419,2022-09-27T08:45:52.000Z,Facebook is Saying Family of Stupid Republicans Producing  3D-Printed  Flowers Saved Us From a Third World War,0,0,0,0
Gabriele Molinelli,@Gabriel64869839,2022-09-27T12:24:21.000Z,"PRIME is a 2-stage ""micro-launcher"" using  3D-printed  rocket motors and biopropane to drastically reduce carbon footprint. The first stage is apparently going to be reusable, too, with the aim of leaving zero debris behind. 180 kg payload. Multiple launches already planned.",0,0,0,0
Newszf,@newszf_com,2022-09-27T13:03:52.000Z,Teen from Rawlings creates  3D printing  business  https:// teen-from-rawlings-creates-3d-printing-business/ …,0,0,0,0
yourpalbingo.bsky.social,@baddate,2022-09-27T13:57:08.000Z,Anyone got a  3D printer  I can  3D print  somethin' into? Onto? Off of? With? You get it.,0,0,0,0
Technology News 2021,@technology_2021,2022-09-27T09:35:47.000Z,Swarm of  3D printing  drones developed to print structures while flying  https:// #tech,0,0,0,0
Student Circuit,@circuit_student,2022-09-27T11:43:40.000Z,"Have you heard?! We have a MASSIVE giveaway with Digi-Key  Enter now for your chance to win a  3D Printer , an Oscilloscope, a Soldering Station and much much more  https://",0,0,0,0
avaxgfxcom,@avaxgfxcom,2022-09-27T11:02:34.000Z,Anais Demon Hunter –  3D Print https:// rintable-models/366265-anais-demon-hunter-3d-print.html …,0,0,0,0
Larry P Lewis Jr,@AutomatedCowboy,2022-09-27T14:00:32.000Z,"Can you design a  3D printer  that can print a 10-floor building? This is the question students faced at  #EBEC2022  in Zagreb. The competition brought together 62 students from 12 universities, using  #SolidEdge  3D CAD software to bring their ideas to life.",0,0,0,0
SnS Product Design,@SnSProdDesign,2022-09-27T11:16:04.000Z,Who would have thought we'd be using  3D printing  to perform surgeries? Click the link to read more about it!  #design #designer #product #entrepreneur #market #innovation #snsdesign #trends #success #milestones #businesswomen #packaging ...  https:// t/115957 …,0,0,0,0
Shop Owl Fashion,@owlfashion1234,2022-09-27T16:12:21.000Z,SPECIAL   Michelob Ultra Beer Can  3D Print  Ugly Christmas Sweater Hoodie   Get it now:  https:// ltra-beer-can-3d-print-ugly-christmas-sweater-hoodie/ … #shopowl #shopowlfashion #shopowlPOD #Drink #UglySweater,0,0,0,0
Fabbing,@fabbing,2022-09-27T09:09:05.000Z,UK MoD to flex-up supply chain by  3D printing  military spares in £5M TAMPA Project  http://,0,0,0,0
3D Print .com,@3DPrintBoard,2022-09-27T14:51:24.000Z,"Polish OEM  @Zortrax_3D  launched its Inkspire 2 UV LCD photopolymer  #3Dprinting  system & 2 post-processing machines. Geographically, Poland can benefit from the reshaping of global supply chains, making Zortrax's focus on materials & post-processing wise.",0,0,0,0
Vin,@Gr1mXv,2022-09-27T08:16:13.000Z,Oh fuck  3d printing  too loud,0,0,0,0
Not A Games Dev Ollie,@Reksaurian,2022-09-27T13:30:37.000Z,"Stars, I'm hungry. Got my fucking 8 hours tho. I have GOT to avoid bad nights sleep. Its fucking self-inflicted torture if I don't. Either need to stay dispassionate about what I'm dealing with, or else do what I did yesterday and just shut it all down for a bit. Gotta stay sane.",0,0,0,0
David Papp,@DavidPapp,2022-09-27T14:02:49.000Z,"Like a Swarm of Bees, These Drones Can  3D Print  Structures While in Flight  https://",0,0,0,0
Industrial Mill,@industrialmill,2022-09-27T14:00:44.000Z,"Hubs released its  3D Printing  Trend Report 2022 in May, highlighting market and technology changes in the  3D printing  industry.

What does this look like for  3D printing  in 2022? Read further with Industrial Mill & Maintenance to find out! https://",0,0,0,0
ARES,@Arms_Research,2022-09-27T16:03:35.000Z,"ARES' very own  @SenftPatrick  presented today at the Interknow Conference—part of the International Security Expo ( @ISE_Expo ) in London. 

He introduced our research on craft-produced and  3D-printed  firearms More info on our work on this topic:  https:// #3dprinting",1,7,2,0
Michael Wegener | Jane Alesi,@MWsatware,2022-09-27T15:09:08.000Z,"My next freetime  3D printing  related project: Play with FDM toner transfer, looks promising.  https:// omments/xnotu1/heres_a_quick_video_of_the_toner_transfer_process/ …",1,3,0,0
EDM Intelligent Solutions,@EDMIntSolutions,2022-09-27T15:00:46.000Z,We’re proud to offer our 3D Metrology Systems for inspection and measurement of  3D printed  components that require the highest level of inspection detail. #3dmetrology #metrology #3dprinting #manufacturing #automatedmetrology #roboticmetrology #surfaceroughness #surfacefinish,0,0,0,0
80 LEVEL,@80Level,2022-09-27T15:00:03.000Z,"Take a look at these drones  3D-printing  structures while working together: one builds, another supervises. The researchers hope the drones can be used for building in difficult-to-access areas. 

See more:  https:// s-inspired-by-bees-3d-printing-a-tower/ … #tech #research #3dprinting",4,66,8,0
bubbleistrouble,@bubbleistrouble,2022-09-27T15:11:16.000Z,"3D printed  trash can makes fat, fleeting bubbles",0,0,0,0
H1 Connect,@H1Connect,2022-09-27T16:20:04.000Z,"Creepy crawly control: how Someya et al.  @riken_en @TUoSEEE  engineered ‘cyborg’  #cockroaches  using  3D-printed , thorax-mounted backpacks that allow for  #behavioral  control. Recommended by Atsushi Iriki.  #neuroscience https://",0,0,0,0
Leslie Langnau,@DW_3DPrinting,2022-09-27T15:45:00.000Z,Researchers uncover how to  3D-Print  one of the strongest stainless steels.  https:// cover-how-to-3d-print-one-of-the-strongest-stainless-steels/ … #3dprinting #additivemanufacturing @DesignWorld,0,0,0,0
Addere Creations,@AddereCreations,2022-09-27T14:16:52.000Z,"Addere Creations is happy to work with Hobvision Technologies Pvt. Ltd. and provide our services in  3D Printing  & 3D Designing.

Hobvision Technologies Pvt. Ltd. offers Industrial Automation, Software Development, Project management, Automation, Electrical Design, Validation,",1,3,0,0
Of3lia Technologies,@Of3liaTech,2022-09-27T09:25:05.000Z,UK MoD to flex-up supply chain by  3D printing  military spares in £5M TAMPA Project  http://,0,0,0,0
Elliot,@noooten,2022-09-27T10:06:44.000Z,"currently learning about how to  3D print  a circle, it’s not going well the printer is dead",0,0,0,0
NEGeocachingSupplies,@NE_Geocaching,2022-09-27T14:28:59.000Z,Our  3D printed  sneaky  #geocaching  hides are back! Do you know we individually paint each one to make them blend into the placement surroundings even more  https:// @NE_Geocaching @GoGeocaching @ShopGeocaching,0,9,2,0
John,@nuerhayah,2022-09-27T12:08:38.000Z,"As a Visionary  &amp;amp; author  I predicted  3D printing Everything..10 yrs ago.

No need 2 wait 10 yrs.  @elonmusk  .
Not rocket   science.

Story books 4 kid's will include NFT'S. 
Here are 2 that u can own &amp;amp; read 2 ur kids in future https://",0,0,0,0
SOOQVIP,@SooqVIP,2022-09-27T08:17:35.000Z,"2022 Summer Trendy Mens  3d Printed  T shirt Fashion O neck Oversized T Shirt For Men Casual All match Short Sleeve top Tee Hot

Price : US $4.97 http:// ls/5 …",0,0,0,0
GPU + Electronics Deals Surfacer,@DealsGpu,2022-09-27T08:15:01.000Z,"Creality Ender 1.75mm Black Eco PLA + (Pro)  3D Printer  Filament—1KG Spool(2.2lbs) , Diameter Accuracy +/- 0.03mm ,Smooth Printing Filament.  #Amazon #ad 【Toughness Upgraded Ender PLA Plus】Creality Ender 1.75mm pla filament has Quality Assured... https:// tag=pupvd-20&linkCode=ogi&th=1&psc=1 …",0,0,0,0
CSEM,@CSEMInfo,2022-09-27T11:01:28.000Z, M2C is LIVE!  @CSEMInfo  and  @EPFL  unveil a NEW “co-opetitive” center for advanced and  additive manufacturing . Its activities will range from fundamental research to the transfer of new tech to industry. Get the facts:  https:// 173675&lg= …  +  http://,0,9,7,0
Tim Rohde,@timrohde,2022-09-27T14:17:40.000Z,"More  #robots : Like a Swarm of Bees, These Drones Can  3D Print  Structures While in Flight  https://",0,0,0,0
Skyler,@skudiklier,2022-09-27T15:36:05.000Z,". @hankgreen  said ""somebody at home  3D print  one"" and I was immediately like ""on it""

I present to you pizza, cash, and a small statue of Pete's a John Muhlenberg, aka John Peter Muhlenberg, aka the original Pizza John #pizzamas @johngreen @sportswithjohn @dearhankandjohn",6,267,9,0
3D Printing @𝟑𝐃𝐚𝐛𝐥𝐞,@3Dable,2022-09-27T16:05:36.000Z,#3Dable  »“I don’t want people to be excited about this” – Nexa3D Head of SLS Kuba Graczyk on the QLS 820 launch«  https:// acturing-3d-printing-industry-insights/technology-insights/nexa3d-head-of-sls-qls-820-interview/ … #3Dp #3Dprinting #3Dprinter #Prototyping,0,0,0,0
shannon greenhalgh,@shannongreenha3,2022-09-27T10:46:44.000Z,"3D Printed  key dog tag
Shags",0,3,0,0
☾༺ℓυa༻☽cazavampitos// ENCARGOS 3D OPEN,@Puchiluh,2022-09-27T12:55:07.000Z,"Hoy traigo un encargo de minis de rol en resina <3 El más alto mide unos 5cm, así que os podéis hacer una idea del tamaño.

Las imprimo con mucho mimo y definición, así que si necesitas imprimir unas minis para tu partida o pintar, estoy a un DM de echar un cable",7,55,29,0
Maker's Muse,@makersmuse,2022-09-27T12:06:38.000Z,3D Printer  at the tip... ,20,141,3,0
Scott Ryan,@_ScottRyan,2022-09-27T14:10:32.000Z,"""Like a Swarm of Bees, These Drones Can  3D Print  Structures While in Flight""  https:// e-a-swarm-of-bees-these-drones-can-3d-print-structures-while-in-flight/ …",0,0,0,0
"Open Research Team, Lboro University Library",@LboroRDM,2022-09-27T15:15:49.000Z,Are you ready for  #OAWeek ? Here's a model for a  #OAlogo  cookie cutter that you can  3D print :  https:// oro.21215546.v1 … #OpenAccess,0,0,0,0
New Space Economy,@NewSpaceEconomy,2022-09-27T16:06:03.000Z,The Rising Use Of  3D Printing  Is A Key Trend In The Satellites Market  http://,0,0,0,0
Investor News,@newsfilterio,2022-09-27T14:44:35.000Z,SINTX TECHNOLOGIES AWARDED DEPARTMENT OF ENERGY GRANT FOR DEVELOPMENT OF  3D PRINTED  CERAMIC HEAT EXCHANGERS  $SINT https:// -technologies-awarded-department-of-energy-grant-for-development-of-3d-printed-ceramic-heat-exc-edcf2456a9829aa5226797e7e7337f80 …,0,0,0,0
Shop Owl Fashion,@owlfashion1234,2022-09-27T16:11:48.000Z,SPECIAL   Heineken Beer  3D Print  Ugly Christmas Sweater Hoodie   Get it now:  https:// eer-3d-print-ugly-christmas-sweater-hoodie/ … #shopowl #shopowlfashion #shopowlPOD #Drink #UglySweater,0,0,0,0
Ava Emily,@avaemily92,2022-09-27T15:26:13.000Z,"3D Engraved on demand with  additive manufacturing  Technology.
6 colors available: blue, red, green, yellow, white and purple.
Metal chain included for hanging anywhere you like. #Flags_webshop #Flags_site #Flags_shop Visit website for more information:  https:// 06-scorpions-2-led-sign.html …",0,0,0,0
Markus Wolf,@3DMetalPrintin1,2022-09-27T12:36:04.000Z,Fans Thrilled with LEGO’s Articulated  3D Printed  Duck Minifigure at Denmark Event  https:// rilled-with-legos-articulated-3d-printed-duck-minifigure-at-denmark-event/?utm_source=dlvr.it&utm_medium=twitter …,0,0,0,0
EcoFix,@EcoFixServices,2022-09-27T15:05:34.000Z,Scotland’s first  3D printed  concrete staircase  http://,0,0,0,0
Shop Owl Fashion,@owlfashion1234,2022-09-27T16:09:08.000Z,SPECIAL   Bud Light Beer  3D Print  Ugly Christmas Sweater Hoodie   Get it now: https:// beer-3d-print-ugly-christmas-sweater-hoodie/ … #shopowl #shopowlfashion #shopowlPOD #Drink #UglySweater,0,0,0,0
SMART FACTORY MAGAZINE,@SMART_FACTORY_M,2022-09-27T08:22:07.000Z,"PowerDIW, una nueva impresora  #3D  híbrida experimental con tecnología DIW. El centro tecnológico CIM UPC presenta su nueva  #impresora3d   con tres casos de uso de tres grupos de investigación que ya están utilizando esta  #tecnología  en sus proyectos. MÁS EN  http:// erdiw-una-nueva-impresora-3d-hibrida-experimental-con-tecnologia-diw …",0,3,1,0
theHAWK,@theHAWKdiamond,2022-09-27T16:00:21.000Z,"What do you build?  We love it all

We build in both IRL and digital, below are some examples of character development…

Modeled in z-brush and rendered in keyshot.  Would eventually be rigged for animation and  3d printed  for events…",4,4,0,0
AMPLab,@AMPLab_unibham,2022-09-27T10:31:26.000Z,One of the biggest challenges in Aluminium  3D printing  is the powder cost. Meet AMPLabs researcher  @tt66tt77  challenging the cost by creating a sustainable low-cost Al alloy! We are excited for Talal’s outcomes   Stay tuned!,0,9,2,0
The Shoppers Market,@shoppersmarkets,2022-09-27T10:00:21.000Z,Cassell3D is a small business  3d printing  shop that helps you to express your passion in life through 3D designed and created earrings. Check them out today!   https://,0,0,0,0
Frenchy1st,@Frenchy1st,2022-09-27T09:07:28.000Z,OTF -  3D Printing  Architecture postgraduate programme 2018/2019: the fut...  https://  via  @YouTube,0,0,0,0
3D Printing Experts,@TriTech3D,2022-09-27T14:02:23.000Z,"Metal  3D Printing  - how hard can it be?   there are some basic rules that must be followed when printing in metals compared to polymers, which we cover in the below video.  #3DPrinting #AdditiveManufacturing",0,0,0,0
BlurryTech,@blurrytech,2022-09-27T09:10:22.000Z,"My finished,  3D printed  Squirtbottle! via /r/pokemon  https://",0,0,0,0
Evo3D,@Evo3Duk,2022-09-27T13:01:18.000Z,"CreatBot F430 is the powerful  3D printer  with most advanced desktop 3D technology. Its best-in-class technical specifications deliver performance you can rely on.

Creatbot F430:  https:// bot-f430 …",0,0,0,0
