Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
sage,@f0lkwh0r3_,2022-08-31T21:01:50.000Z,I bought my bf and I a  3D printer  yesterday!!!!!,2,4,0,0
Riri,@MoltenSaltNuke,2022-09-01T02:11:17.000Z,This is a terrifying article. It would be very bad if we spread this article even more. This would cause more people to know of the existence of the dangerous kit that can turn semi auto weapon into auto weapon. Worse is this kit can be  3d printed  and often sold as airsoft part.  https://,0,2,1,0
Gambody,@Gambody_com,2022-08-31T18:03:02.000Z,Order STL files of Master Chief  #3Dprinting  Figurine here  https:// Look at the fantastic printing and painting job done by enthusiast Rory Game who recreated a figurine of Master Chief with his FDM  3D printer . This project is impossible to take our eyes off!,0,3,0,0
Usa Offers Time,@usa_offers_time,2022-08-31T20:08:47.000Z,   LIGHTNING DEAL     Kids Hoodies Size 12-13T Novelty  3D Print  Cool Unisex Pullover Sweatshirt with Big Pocket   Only 21.24 $  instead of 24.99 $  (- 15%)   Deal ends at: 11:55 pm https://,0,0,0,0
Lewdbees (Slots: Full! Waitlist: Closed!),@lewdbees,2022-08-31T21:13:02.000Z,So question: have you considered modelling/getting Haladroth modeled and  3d printing  him as a mini? It would be rad as hell… — I /have/ had a lot of daydreams about a Hala mini… but I haven’t touched a 3d program in forever… I /may/ do a concept doodl…,0,5,0,0
Memia /acc,@memialabs,2022-09-01T00:51:00.000Z,"Daniel Kraft: The pharmacy of the future? Personalized pills,  3D printed  at home | TED Talk  https://",0,0,0,0
Saqib Ali,@saqibali_ca,2022-08-31T19:53:16.000Z,LLNL  #DataScientist  for  Additive Manufacturing  |  @smartrecruiters https:// 86546?ctm_campaign=campaign:2550&ctm_company=139&ctm_content=publication:182316&ctm_source=1&ctm_target=job_posting:386546 …  H/T:  @LLNLcareers,0,0,0,0
Joel Telling - 3D Printing Nerd,@joeltelling,2022-08-31T19:06:56.000Z,"Headed to  @Proto_pasta  for the event! Adding some more 3D printers - including:
Raise3D Pro2 Plus
Snapmaker A350 3-in-1
Formlabs Form 2
QIDI X-CF PRO

See you all soon!",26,113,12,0
Fabbing,@fabbing,2022-08-31T22:24:33.000Z,"3D Printing  Industry News Sliced: Adidas, Sennheiser, Desktop Metal, AMT and more  http://",0,0,0,0
manny ‍,@tinychxt,2022-09-01T03:29:13.000Z,3D printing  out dick statues to hand out for veteran meat riders,0,5,3,0
3DPRobo,@3dprinterRobo,2022-09-01T01:16:07.000Z,"3D Printing  Industry News Sliced: Adidas, Sennheiser, Desktop Metal, AMT and more  http://",0,0,0,0
Alex Clark,@DrAlexClark,2022-08-31T19:36:57.000Z,An inspiring  #photon2022  plenary talk from Richard Bowman this morning about the  @OpenFlexure 3D printed  microscope project. Very exciting and will look into building myself one soon!  @mindnumbed @qqq_iop @BathPhysics @CPPMactivities @UofGlasgow,2,26,3,0
3DPrinting World,@3DPrinting_W,2022-08-31T19:23:14.000Z,"Top story: Markforged Completes Digital Metal Acquisition: Enters Binder Jet Metal  3D Printing  -  http://  | The Voice of  3D Printing  /  Additive Manufacturing https:// al-3d-printing-deal-markforged-buys-digital-metal-to-enter-binder-jetting-market/ … , see more  https:// =tnp …",0,0,0,0
Not A Games Dev Ollie,@Reksaurian,2022-08-31T22:49:07.000Z,FOOOOOOD.,0,0,0,0
PhotoInfoNews,@PhotoInfoNews,2022-08-31T20:52:41.000Z,"""The Pikon camera is a  3D-printed  interchangeable lens camera built around Raspberry Pi""  https:// #photography",0,0,0,0
