Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
Makerlab Official,@makerlab_e,2022-05-02T08:08:08.000Z,"Makers! na feature kami sa Manila Standard salamat!   
This article is an interesting read. It tells the impact of  3D printing  sa lahat ng mga industriya ngayon. Pasok sa standard niyo 'to!  Read it here:  https:// #MakeitMakerlab #MakerlabElectronics",11,11,12,0
MINS 3D Printer,@Mins3dprinter,2022-05-02T10:52:39.000Z,"Pencereden düşerek kafasının yüzde 83'ü parçalanan Ali Çiftçi, 3 boyutlu yazıcılarla üretilen implantlarla eski görüntüsüne kavuştu. #3dprinting #3dyazıcı #yerli3Dyazıcı",0,2,0,0
Static Drama,@StaticDrama,2022-05-02T11:07:01.000Z,"""Virtuality Spirituality""

Lot of work in this one! now Change the ears & nose for special  3D print  NFT 1/1 sculpture. 
Stay tune my friends! #3dprint #blender #zbrush #sculpture #NFTCommmunity #nft #tezos #nftart #monochrome #NFTartist #nftcollectors #dropnft #CleanNFT",2,20,7,0
♡気になる韓国芸能界♡,@syunsoie,2022-05-02T08:17:44.000Z,"Girl's Day ヘリ＆ソジン、「2014  3D PRINTING  KOREA」ファッションショー（11/5） 

(*´∀｀）ｂ",0,0,0,0
Tucky,@LuckiiTucky,2022-05-02T08:15:52.000Z,"i really love what  3d printing  and advances in hobbyist PCB work has done for the retro game community, among other hobbies. I'm glad so many people are just as picky as me and want to experience things on original hardware, so many cool things have been made as a result",1,1,2,0
Of3lia Technologies,@Of3liaTech,2022-05-02T09:27:07.000Z,"Industrial Polymer  3D Printing  Review: Our engineers compared voxeljet HSS, HP MJF, and SLS  http://",0,0,0,0
Teclados Top,@TecladosTop,2022-05-02T12:02:04.000Z, Lo más top ahora mismo en /r/MechanicalKeyboards: A fully  3d printed  keyboard! It's wireless over bluetooth as well as being my first split!  https:// yboards/comments/ugl7in/a_fully_3d_printed_keyboard_its_wireless_over/ …,0,0,0,0
Dtesh Catholic Place,@dwilson71,2022-05-02T11:46:51.000Z,#hashtag3  CLOOCL Fashion Christian Jesus and Lion Hoodie  3D Printed  Harajuku Long Sleeve Hooded Casual Pullover Clothing Man Hoodies  https://,0,0,0,0
UmstadtLilie,@SFlutlicht,2022-05-02T12:24:22.000Z,Time to combine my favorites!  3D print  soon.,0,0,0,0
Zay☭,@MarxistArtist,2022-05-02T10:40:14.000Z,Repost cuz im stupid: finally glued in the visor to the one on the right but it's messy af. Still happy with the overall look of it. Left was a jango fett helmet from Amazon that as finished a few years ago and right is a  3d print  from etsy. It's 7am and I haven't slept yet.,0,7,0,0
Fabricación 4.0,@Fabricacion40,2022-05-02T09:57:40.000Z,"3dprintindustry ""Industrial Polymer  3D Printing  Review: Our engineers compared voxeljet HSS, HP MJF, and SLS -  https:// l-polymer-3d-printing-review-our-engineers-compared-voxeljet-hss-hp-mjf-and-sls-208159/?utm_source=Twitter …  -  #3dprinting #review @voxeljet """,0,0,0,0
Claudia Neumann,@NeumannC8786,2022-05-02T11:55:21.000Z,"What I found on my office desk this morning...
Sandglass, a  3D printed  Buddha and a note saying: sit down comfortably for 3 minutes, focus on your breath....
  #mindfulness #achtsamkeit #BERN #MindBodyMedicine #UWH #uniwittenherdecke",0,0,0,0
CREALITY 3D Printer,@Creality3dP,2022-05-02T08:42:00.000Z,Bring creativity into a higher level with  #halotone_plus  &  #halotone_pro View the detailed functions and differences of the two smart printers now! https:// -3d-printer-energizing-creation-creality-halot-one-pro-plus/ … http://,0,0,0,0
