Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
WHO WAS HERE? CLEAR WAS HERE!,@clearwashere,2024-01-28T00:48:37.000Z,i got a  3d printer,0,2,0,21
Un1v3rs0 Z3r0,@Un1v3rs0Z3r0,2024-01-29T16:05:33.000Z,3D Printing  Calibration Cubes Isn’t Helping You Like You Think It Is  https://,0,0,0,1
Tempest,@CallMeViskers,2024-01-27T22:46:43.000Z,"Jobs I've had in order:
Ice cream artist
Home Depot cashier
Mechanical Engineer (Power plant)
Graduate Researcher
Design Engineer
Mechanical Engineer ( 3D printing )
Mechanical Engineer (Culinary Tech)
Controls Engineer",0,0,0,0
Dave,@DavidGetchel,2024-01-27T21:41:25.000Z,"Processed water, laser cut a new tool,  3D printing  keycaps.

All thanks to the sun.",0,1,0,23
Sailner 3D,@yanliao_sailner,2024-01-29T10:02:52.000Z,"Full-color  3D Printing  Make Your Imagination a Reality _Sailner 3D & Nano Labs
For more information, go to:  https:// #sailner #sailner3d #3dprinter #fullcolor3dprinting #Metaverse",0,1,0,71
GC_DaemonCore,@GC_DaemonCore,2024-01-27T20:12:10.000Z,lol some companies deserve the  3d printing  community doing the lords work. So glad I found these things….,0,1,0,26
The 3D printing belgian #FreeThe3DPGeneral,@3DPBelgian,2024-01-29T01:36:13.000Z,"saving batch one of the ""is 100% infill actually 100%"" macro shots. printing some more stuff including adding actual top layers and ironing to see if it makes a print more ""sealed""",0,2,0,200
7D-United l Design and 3D Printing,@7d_united,2024-01-28T19:15:51.000Z,تتميز الطباعة ثلاثية الأبعاد  3D Printing  بالدقه العاليه والجوده والسرعة والتكلفة المناسبة مقارنةً بطرق التصنيع المعتاده والقديمه  #7Dee_United_for_Design_and_3D_Printing 3D Printing  Technology,0,1,0,32
Vexma Technologies,@vexma_tech,2024-01-29T13:02:24.000Z,"Transform your manufacturing paradigm with Vexma's cutting-edge metal  3D printing  solutions. Redefine efficiency, enhance precision, and reshape your production process. Elevate your industry standards with innovation that speaks to the language of engineering excellence.",0,0,0,0
News 4 Social - Talk About Latest Trend,@newsforsocial,2024-01-27T21:30:00.000Z,New Post: TwoTrees SK1 CoreXY  3D Printer  review – Affordable speed and quality – News 4 Social  https:// #technology,0,0,0,20
The Liberty Parent,@liberty_parent,2024-01-28T01:31:42.000Z,"My son wanted my old  3d printer . I told him that if he learned to CAD, he could have it. So, he downloaded a program and found a YouTube course on learning. He then mocked up a lego in the program, exported it as an stl file, uploaded it to the slicing software, and printed it.",0,0,0,0
Socket & Allied,@socketandallied,2024-01-30T10:30:13.000Z,Additive Manufacturing  UK raises its concerns over the discovery of 3D printed firearms in Scotland!  It has been recently reported that there has been two incidents of 3D printed guns uncovered >  https:// #AdditiveManufacturing #Manufacturing #Firearms,0,0,0,0
Harles Barkley,@Hazy555_,2024-01-29T16:08:30.000Z,Even though it's months away I would like a  3d printer  for my birthday. Imagine all of the cool stuff that I can make,0,0,0,46
The 3D printing belgian #FreeThe3DPGeneral,@3DPBelgian,2024-01-30T12:24:33.000Z,"just like always, musk lies about everything.",0,0,0,0
The 3D printing belgian #FreeThe3DPGeneral,@3DPBelgian,2024-01-30T02:17:34.000Z,Spam folder is boring,0,0,0,0
