Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
Desmond Loke,@Des_Loke,2024-01-20T00:01:56.000Z,"New Research: Direct 4D printing of functionally graded hydrogel networks for biodegradable, untethered, and multimorphic soft robots: Recent advances in functionally graded  additive manufacturing  (FGAM) technology have enabled the seamless ...  @IntJExtremManuf @SUTD_LBELL",0,0,0,0
GoPhotonics,@gophotonics,2024-01-19T13:55:12.000Z,"The Elmo 780 from Menlo Systems is a Femtosecond Fiber Laser that operates at a center wavelength of 780 nm.

Click here to Download the Datasheet  https:// #MenloSystems #femtosecond #fiber #Laser #3D #printing #Featured #products #photonics #INDUSTRY #Insights",0,0,0,0
BigRep - #3DPrinting,@BigRep,2024-01-19T11:48:12.000Z," Industrial  3D printing  continues to revolutionize aerospace innovation, cutting costs and time while ensuring precision. From prototyping, to jigs and fixtures, to end-use parts, it elevates manufacturing processes on a different level!

Learn more  https://",0,0,1,129
3D Printing Deals,@3dpdeals,2024-01-19T14:15:20.000Z,"$4.20  USB C Memory Card Reader 

more info here:  https:// sb-c-memory-card-reader/ … afflink:  https:// Promo Code: 55K94VLR
Coupon Info:  #3dprintingdeals",0,1,1,279
Global Counterterrorism Forum,@theGCTF,2024-01-19T10:10:12.000Z,"Yesterday, the second exploratory dialogue was held where the opportunities and threats of new and emerging technologies related to Unmanned Aerial Systems  #UAS  (drones), Biometrics,  3D printing  and other related technologies were discussed   (3/3)  https:// tiative-Activities …",0,0,0,0
David R. Prasser,@DavidRPrasser,2024-01-19T10:52:00.000Z," Stay Informed about Metal Industry Trends (January 2024)! From  3D printing  to innovative techniques and investment opportunities, discover the latest developments. Insights at:  https:// #MetalIndustry #Innovation",0,0,0,65
GoofyBoots,@boofygoots,2024-01-19T18:18:06.000Z,Firing up that  3d printer  now  https:// /plaboiiii/status/1748354648358985828 …,0,2,0,119
Keith Rhode,@rhode_keith,2024-01-19T14:52:38.000Z,My coworker made me a Shield with his  3D printer . What do you think  #RaiderNation  ? ,0,0,0,0
Lewis RK ( Mechalomania ),@Rattapoom_K,2024-01-19T11:16:16.000Z,"Injection moulding is limited comparing to  3D printing . Cannot have overhang, cannot be thicker than the mould can manage heat.... Difficult but valuable exercises.",0,0,0,0
ICMol,@ICMol_UV,2024-01-19T09:20:55.000Z,Did you know that  3D printing  of ceramics can be used for implants? Visit the  #AdvancedMaterials  space and talk to the  @DYPAM_UCLM  team at  #S4i  in  @LaNaveMadrid  to learn about the latest trends in this fascinating technology.   We are waiting for you!  #3DPrinting #Innovation,0,0,0,0
ORNL Energy Science,@ORNLEnergy,2024-01-19T20:45:02.000Z,"A team of  @ORNL  researchers recently 3D printed large rotating steam turbine blades – a first foray into large-scale  additive manufacturing . Tech Briefs magazine featured a Q&A with Michael Kirka, who led the project. Read more here:",0,8,4,1222
Oakley Forest,@ForestOakl42772,2024-01-19T17:14:25.000Z,"#Thingiverse  -  #Digital #Designs #for #Physical #Objects Download files and build them with your  3D printer , laser cutter, or CNC. Thingiverse is a universe of things.",0,0,0,0
SCA 3D Printing,@Kordris23,2024-01-19T21:55:23.000Z,I just wrote a review on Hellvape Helheim S 25mm RDTA  https://  via  @yotpo,0,0,0,15
tiffany,@tiffanyc2022,2024-01-19T14:32:57.000Z,Check out this listing I just added to my  #Poshmark  closet: NIB Mamorubot  3D Printer  Water Washable 3D Print Gray Resin Only..  https:// #shopmycloset @poshmarkapp,0,0,0,4
LeBron Daniel,@lebron3d,2024-01-20T03:11:31.000Z,"I am really a advocate of  3D Printing  Technologies, however I think 3D printed Food has a way to go before it becomes main stream. no GMO’s please",0,0,0,20
Scientific Today Jobs,@scitoday_jobs,2024-01-19T12:03:28.000Z,"Division Lead Materials for  Additive Manufacturing  (AM) (Post-doc, m/f/d) #science #jobs #sciencejobs #job",0,0,0,9
3Printr.com,@3printr,2024-01-19T17:07:09.000Z,Development Bank of Japan and Epson invest in  3D printing  company 3DEO  http:// #additivemanufacturing #3dprinting,0,0,0,102
Kouichi_iPh15PRO_Corratec,@k1957ip15p23103,2024-01-19T13:45:14.000Z,現在、ロードバイクのサドルはTNI LiteFly カーボンサドルを使用してますが、今日、新商品のTNI  3D printing  サドル カーボンレールを購入しました。日曜日までに交換して、試乗する予定です。,0,0,0,0
A Printed World,@aprintedworld,2024-01-19T20:36:32.000Z,"More and more dental practices are adopting  3D printing  for better fitting dentures and prosthetics. 

Digitizing Dentures",0,1,1,39
"Libertarian, Homesteading, 3D Printing",@Liberty3DPrints,2024-01-20T00:26:38.000Z,Typical DeSantis supporter not understanding presidential security and the possibility that maybe  @realDonaldTrump  was going somewhere else than his wife and son. Automatically suspects the worst. Loser mentality  https:// /SwissWatchGuy/status/1748422843077894412 …,0,1,0,37
EOS 3D Printing,@EOS3DPrinting,2024-01-19T15:50:22.000Z," Missed Additive Snack? No worries! Get ready for new episodes covering a variety of topics, including space, consumer sporting goods, orthotics, and more.

Don't forget to subscribe to Additive Snack:  https:// #futureisadditive #additivesnack",0,2,0,173
European Orthodontic Society,@EuroOrthodontic,2024-01-19T17:08:12.000Z,"Calling all  #postgraduate  the first 2024 virtual programme is now open!

Join Theodore Eliades for the Distinguished Teacher Lecture, 'Lessons not learnt from the introduction of new materials in Orthodontics: the case of aligners and  3D printing '  https://",0,0,0,0
Matt Keenan,@MatthewKxyz,2024-01-19T17:58:23.000Z,Right to repair and  3d printing  feel like peanut butter and jelly,0,0,0,0
Shola,@obscureshola,2024-01-20T00:21:42.000Z,3D printing  has really been a threat. Especially SLS. Love to see it,0,0,0,0
Oz Robotics,@OzRoboticsUSA,2024-01-19T18:32:40.000Z,Educational  3D Printer  with Gamified 3D Design Application for Kids  https:// maker-educational-3d-printer-with-gamified-3d-design-application-for-kids/ …,0,0,0,0
Nomnom Figures,@NomnomFigures,2024-01-19T12:45:02.000Z,"#TophBeiFong  -  #Avatar #theLastAirbender STL for  3D printing  (with presupport)

 Support our Patreon:   http://  
Join our community:   https://  

Available Until Jan 31  #anime #3dprint #3dprinting #stl #miniature #resinprint",0,2,0,234
DugDammit,@thedugdammit,2024-01-19T17:11:27.000Z,"I know I'm late to the game, but  3D printing  is amazing. So glad I finally got into this hobby.",0,0,0,13
Wicked Forge,@wicked_forge,2024-01-19T17:10:46.000Z,only a few hours left! Alternative heads for Tabletop & Wargames! STL pack for resin  3d printing #3dprinting #3dprint #miniatures #stlfiles #stl #art #hobby #FridayFeeling #3d #3dprinted #diy #hobbyist #3dart #3dartist,0,3,0,227
Dr. Syed Akbar Abbas,@DrSyedAkbarAbb4,2024-01-19T12:47:18.000Z,"3D Printing  Lab At AKUH: Where Bones Come Alive3D Printing Lab At AKUH Prints a Future in Healthcare: Prosthetic Innovation and Medical Education

Imagine a lab where bones are born, not from nature, but from a  3D printer . https:// b-at-akuh-where-bones-come-alive/ …",0,0,0,0
